"item" "cond" "subj" "so" "rt"
"9.13" "9" "a" "14" -0.5 284.790285377451
"10.13" "10" "b" "14" 0.5 672.883799348398
"11.13" "11" "a" "14" -0.5 297.446851690822
"12.13" "12" "b" "14" 0.5 518.838402456554
"13.13" "13" "a" "14" -0.5 296.845498947557
"14.13" "14" "b" "14" 0.5 329.219583323451
"15.13" "15" "a" "14" -0.5 206.132817729524
"16.13" "16" "b" "14" 0.5 469.06038806706
"1.14" "1" "a" "15" -0.5 376.067612185335
"2.14" "2" "b" "15" 0.5 392.024581902406
"3.14" "3" "a" "15" -0.5 132.455808344627
"4.14" "4" "b" "15" 0.5 333.708151904539
"5.14" "5" "a" "15" -0.5 133.271543164681
"6.14" "6" "b" "15" 0.5 250.452755784957
"7.14" "7" "a" "15" -0.5 327.821741485372
"8.14" "8" "b" "15" 0.5 222.005005838531
"9.14" "9" "a" "15" -0.5 191.805780805394
"10.14" "10" "b" "15" 0.5 447.903813036122
"11.14" "11" "a" "15" -0.5 189.259006273501
"12.14" "12" "b" "15" 0.5 412.021102048522
"13.14" "13" "a" "15" -0.5 303.511846125582
"14.14" "14" "b" "15" 0.5 394.415395121668
"15.14" "15" "a" "15" -0.5 331.712337081107
"16.14" "16" "b" "15" 0.5 99.3940101854865
"1.15" "1" "a" "16" -0.5 252.12620722989
"2.15" "2" "b" "16" 0.5 386.382712191388
"3.15" "3" "a" "16" -0.5 252.452982036143
"4.15" "4" "b" "16" 0.5 424.89725621378
"5.15" "5" "a" "16" -0.5 358.574730350942
"6.15" "6" "b" "16" 0.5 194.414307677108
"7.15" "7" "a" "16" -0.5 364.835325854595
"8.15" "8" "b" "16" 0.5 251.427622618013
"9.15" "9" "a" "16" -0.5 301.579194959264
"10.15" "10" "b" "16" 0.5 163.456664789778
"11.15" "11" "a" "16" -0.5 407.569077818655
"12.15" "12" "b" "16" 0.5 240.16190100589
"13.15" "13" "a" "16" -0.5 392.081200192536
"14.15" "14" "b" "16" 0.5 331.699458384283
"15.15" "15" "a" "16" -0.5 212.976142927109
"16.15" "16" "b" "16" 0.5 246.256301617414
"1.16" "1" "a" "17" -0.5 278.97848054105
"2.16" "2" "b" "17" 0.5 278.855421810102
"3.16" "3" "a" "17" -0.5 228.058194345242
"4.16" "4" "b" "17" 0.5 455.186933911613
"5.16" "5" "a" "17" -0.5 381.531868226255
"6.16" "6" "b" "17" 0.5 412.909468917306
"7.16" "7" "a" "17" -0.5 340.60218756155
"8.16" "8" "b" "17" 0.5 404.524710018406
"9.16" "9" "a" "17" -0.5 628.596299044257
"10.16" "10" "b" "17" 0.5 373.727654882843
"11.16" "11" "a" "17" -0.5 326.218785657188
"12.16" "12" "b" "17" 0.5 279.502323801194
"13.16" "13" "a" "17" -0.5 420.891779514806
"14.16" "14" "b" "17" 0.5 527.321061923669
"15.16" "15" "a" "17" -0.5 317.544715704095
"16.16" "16" "b" "17" 0.5 409.206493675184
"1.17" "1" "a" "18" -0.5 347.99847187604
"2.17" "2" "b" "18" 0.5 289.614685257043
"3.17" "3" "a" "18" -0.5 134.640792207542
"4.17" "4" "b" "18" 0.5 179.835442477464
"5.17" "5" "a" "18" -0.5 275.042117099212
"6.17" "6" "b" "18" 0.5 358.041984998125
"7.17" "7" "a" "18" -0.5 407.578512503022
"8.17" "8" "b" "18" 0.5 323.770702638177
"9.17" "9" "a" "18" -0.5 230.896039342816
"10.17" "10" "b" "18" 0.5 361.793781275999
"11.17" "11" "a" "18" -0.5 382.16056606258
"12.17" "12" "b" "18" 0.5 493.876754496782
"13.17" "13" "a" "18" -0.5 243.558834213034
"14.17" "14" "b" "18" 0.5 478.87087444626
"15.17" "15" "a" "18" -0.5 243.934496438964
"16.17" "16" "b" "18" 0.5 327.799048118727
"1.18" "1" "a" "19" -0.5 210.365369035854
"2.18" "2" "b" "19" 0.5 192.849242286719
"3.18" "3" "a" "19" -0.5 464.959883523358
"4.18" "4" "b" "19" 0.5 99.714396793619
"5.18" "5" "a" "19" -0.5 355.992040372996
"6.18" "6" "b" "19" 0.5 103.538527189821
"7.18" "7" "a" "19" -0.5 164.323049767463
"8.18" "8" "b" "19" 0.5 235.089104331314
"9.18" "9" "a" "19" -0.5 214.137455984308
"10.18" "10" "b" "19" 0.5 205.55118395999
"11.18" "11" "a" "19" -0.5 724.055386066687
"12.18" "12" "b" "19" 0.5 115.71384184695
"13.18" "13" "a" "19" -0.5 258.787074133913
"14.18" "14" "b" "19" 0.5 99.3251302360788
"15.18" "15" "a" "19" -0.5 412.275031910456
"16.18" "16" "b" "19" 0.5 302.415090812586
"1.19" "1" "a" "20" -0.5 339.030310775005
"2.19" "2" "b" "20" 0.5 642.213916901756
"3.19" "3" "a" "20" -0.5 442.128281410776
"4.19" "4" "b" "20" 0.5 311.871984392068
"5.19" "5" "a" "20" -0.5 306.248190426305
"6.19" "6" "b" "20" 0.5 225.375117313084
"7.19" "7" "a" "20" -0.5 516.891351394316
"8.19" "8" "b" "20" 0.5 459.172864059855
"9.19" "9" "a" "20" -0.5 385.513630799133
"10.19" "10" "b" "20" 0.5 448.408198308817
"11.19" "11" "a" "20" -0.5 538.032150099843
"12.19" "12" "b" "20" 0.5 452.27759474175
"13.19" "13" "a" "20" -0.5 366.105768406012
"14.19" "14" "b" "20" 0.5 251.563525980682
"15.19" "15" "a" "20" -0.5 503.935057242872
"16.19" "16" "b" "20" 0.5 662.239845850912
"1.20" "1" "a" "21" -0.5 578.615938506473
"2.20" "2" "b" "21" 0.5 415.664289959944
"3.20" "3" "a" "21" -0.5 224.874598445001
"4.20" "4" "b" "21" 0.5 376.929996589184
"5.20" "5" "a" "21" -0.5 250.312842899471
"6.20" "6" "b" "21" 0.5 260.50872456288
"7.20" "7" "a" "21" -0.5 187.065527856814
"8.20" "8" "b" "21" 0.5 265.359257596028
"9.20" "9" "a" "21" -0.5 342.037030575428
"10.20" "10" "b" "21" 0.5 401.415995589784
"11.20" "11" "a" "21" -0.5 411.575728494488
"12.20" "12" "b" "21" 0.5 108.376826317111
"13.20" "13" "a" "21" -0.5 257.196426445818
"14.20" "14" "b" "21" 0.5 314.816660272719
"15.20" "15" "a" "21" -0.5 195.20396040118
"16.20" "16" "b" "21" 0.5 178.094630308529
"17" "1" "b" "22" 0.5 373.181495509159
"21" "2" "a" "22" -0.5 306.890894351423
"31" "3" "b" "22" 0.5 278.028276453139
"41" "4" "a" "22" -0.5 280.578440621209
"51" "5" "b" "22" 0.5 229.781230615626
"61" "6" "a" "22" -0.5 187.445928836315
"71" "7" "b" "22" 0.5 237.404875732451
"81" "8" "a" "22" -0.5 277.30159720229
"91" "9" "b" "22" 0.5 386.59024583706
"101" "10" "a" "22" -0.5 241.37174572536
"111" "11" "b" "22" 0.5 281.003030269606
"121" "12" "a" "22" -0.5 382.407142148415
"131" "13" "b" "22" 0.5 302.163139832968
"141" "14" "a" "22" -0.5 217.183082232743
"151" "15" "b" "22" 0.5 139.608305030242
"161" "16" "a" "22" -0.5 167.973377302548
"1.110" "1" "b" "23" 0.5 473.68732528651
"2.110" "2" "a" "23" -0.5 253.224659246946
"3.110" "3" "b" "23" 0.5 512.833255826875
"4.110" "4" "a" "23" -0.5 473.826450866184
"5.110" "5" "b" "23" 0.5 609.444251944572
"6.110" "6" "a" "23" -0.5 373.275620951094
"7.110" "7" "b" "23" 0.5 412.238070390926
"8.110" "8" "a" "23" -0.5 300.97771608581
"9.110" "9" "b" "23" 0.5 265.869939945688
"10.110" "10" "a" "23" -0.5 274.32551585655
"11.110" "11" "b" "23" 0.5 434.562771566936
"12.110" "12" "a" "23" -0.5 657.911146753663
"13.110" "13" "b" "23" 0.5 553.970023740429
"14.110" "14" "a" "23" -0.5 426.413658419727
"15.110" "15" "b" "23" 0.5 292.709936988801
"16.110" "16" "a" "23" -0.5 263.540282981467
"1.21" "1" "b" "24" 0.5 732.053746876897
"2.21" "2" "a" "24" -0.5 178.845036073866
"3.21" "3" "b" "24" 0.5 439.780031897175
"4.21" "4" "a" "24" -0.5 249.852135989223
"5.21" "5" "b" "24" 0.5 394.299585420904
"6.21" "6" "a" "24" -0.5 363.980778653131
"7.21" "7" "b" "24" 0.5 406.750175475002
"8.21" "8" "a" "24" -0.5 281.024725122067
"9.21" "9" "b" "24" 0.5 700.592477538872
"10.21" "10" "a" "24" -0.5 212.016811157495
"11.21" "11" "b" "24" 0.5 340.632689839693
"12.21" "12" "a" "24" -0.5 245.103293543801
"13.21" "13" "b" "24" 0.5 649.138566282904
"14.21" "14" "a" "24" -0.5 243.585077194024
"15.21" "15" "b" "24" 0.5 454.298869185001
"16.21" "16" "a" "24" -0.5 404.98260815305
"1.31" "1" "b" "25" 0.5 611.158140799076
"2.31" "2" "a" "25" -0.5 564.66156971097
"3.31" "3" "b" "25" 0.5 973.446760751754
"4.31" "4" "a" "25" -0.5 725.702453418586
"5.31" "5" "b" "25" 0.5 674.881954842659
"6.31" "6" "a" "25" -0.5 589.006229859215
"7.31" "7" "b" "25" 0.5 793.27443149528
"8.31" "8" "a" "25" -0.5 764.724005963725
"9.31" "9" "b" "25" 0.5 1216.22222194193
"10.31" "10" "a" "25" -0.5 219.569283771102
"11.31" "11" "b" "25" 0.5 847.089519173488
"12.31" "12" "a" "25" -0.5 411.216176311912
"13.31" "13" "b" "25" 0.5 798.967865411085
"14.31" "14" "a" "25" -0.5 338.572911706987
"15.31" "15" "b" "25" 0.5 677.576092830066
"16.31" "16" "a" "25" -0.5 1066.08429163014
"1.41" "1" "b" "26" 0.5 141.942090359802
"2.41" "2" "a" "26" -0.5 294.09745004142
"3.41" "3" "b" "26" 0.5 224.78452221306
"4.41" "4" "a" "26" -0.5 230.12151491468
"5.41" "5" "b" "26" 0.5 296.94376094957
"6.41" "6" "a" "26" -0.5 156.293943268226
"7.41" "7" "b" "26" 0.5 305.779049700302
"8.41" "8" "a" "26" -0.5 184.698696582843
"9.41" "9" "b" "26" 0.5 356.506582167453
"10.41" "10" "a" "26" -0.5 288.864166440041
"11.41" "11" "b" "26" 0.5 412.486406041889
"12.41" "12" "a" "26" -0.5 458.758388705002
"13.41" "13" "b" "26" 0.5 208.793935398167
"14.41" "14" "a" "26" -0.5 261.63024307502
"15.41" "15" "b" "26" 0.5 308.284872046755
"16.41" "16" "a" "26" -0.5 451.774581543798
"1.51" "1" "b" "27" 0.5 267.943892068791
"2.51" "2" "a" "27" -0.5 565.298760155598
"3.51" "3" "b" "27" 0.5 85.148357064448
"4.51" "4" "a" "27" -0.5 314.383311310347
"5.51" "5" "b" "27" 0.5 208.38987281842
"6.51" "6" "a" "27" -0.5 239.870732869253
"7.51" "7" "b" "27" 0.5 236.939386307072
"8.51" "8" "a" "27" -0.5 480.859550503731
"9.51" "9" "b" "27" 0.5 237.488380479605
"10.51" "10" "a" "27" -0.5 227.629405508966
"11.51" "11" "b" "27" 0.5 228.206927263202
"12.51" "12" "a" "27" -0.5 314.367600369539
"13.51" "13" "b" "27" 0.5 252.020265295219
"14.51" "14" "a" "27" -0.5 132.355347844231
"15.51" "15" "b" "27" 0.5 181.613441460924
"16.51" "16" "a" "27" -0.5 224.887435206054
"1.61" "1" "b" "28" 0.5 676.41278550985
"2.61" "2" "a" "28" -0.5 205.531927890708
"3.61" "3" "b" "28" 0.5 338.670133323085
"4.61" "4" "a" "28" -0.5 910.43420330525
"5.61" "5" "b" "28" 0.5 502.477420613529
"6.61" "6" "a" "28" -0.5 723.620670280165
"7.61" "7" "b" "28" 0.5 602.570193395016
"8.61" "8" "a" "28" -0.5 675.182157502201
"9.61" "9" "b" "28" 0.5 524.555050302394
"10.61" "10" "a" "28" -0.5 432.274419301004
"11.61" "11" "b" "28" 0.5 680.439028407036
"12.61" "12" "a" "28" -0.5 824.113101632875
"13.61" "13" "b" "28" 0.5 375.791101174495
"14.61" "14" "a" "28" -0.5 478.691222096069
"15.61" "15" "b" "28" 0.5 371.723186172208
"16.61" "16" "a" "28" -0.5 423.331952840454
"1.71" "1" "b" "29" 0.5 525.370473493687
"2.71" "2" "a" "29" -0.5 495.746392390881
"3.71" "3" "b" "29" 0.5 835.635156181972
"4.71" "4" "a" "29" -0.5 675.284655598235
"5.71" "5" "b" "29" 0.5 787.325060182321
"6.71" "6" "a" "29" -0.5 437.772950093949
"7.71" "7" "b" "29" 0.5 738.10645729713
"8.71" "8" "a" "29" -0.5 223.191693617338
"9.71" "9" "b" "29" 0.5 1136.48473714698
"10.71" "10" "a" "29" -0.5 408.270297170353
"11.71" "11" "b" "29" 0.5 392.786246163573
"12.71" "12" "a" "29" -0.5 277.278239979552
"13.71" "13" "b" "29" 0.5 362.581058876416
"14.71" "14" "a" "29" -0.5 390.655209743
"15.71" "15" "b" "29" 0.5 399.36254491321
"16.71" "16" "a" "29" -0.5 631.962448436328
"1.81" "1" "b" "30" 0.5 217.759075752204
"2.81" "2" "a" "30" -0.5 202.067078118804
"3.81" "3" "b" "30" 0.5 260.811319199961
"4.81" "4" "a" "30" -0.5 144.883119375297
"5.81" "5" "b" "30" 0.5 426.416714796999
"6.81" "6" "a" "30" -0.5 175.902792207523
"7.81" "7" "b" "30" 0.5 193.565388481752
"8.81" "8" "a" "30" -0.5 183.006378782618
"9.81" "9" "b" "30" 0.5 216.930562807359
"10.81" "10" "a" "30" -0.5 108.868523047871
"11.81" "11" "b" "30" 0.5 205.616434252767
"12.81" "12" "a" "30" -0.5 135.899347057007
"13.81" "13" "b" "30" 0.5 270.879607176944
"14.81" "14" "a" "30" -0.5 77.6944629857014
"15.81" "15" "b" "30" 0.5 183.234104697807
"16.81" "16" "a" "30" -0.5 237.832076373036
"1.91" "1" "b" "31" 0.5 413.431880915169
"2.91" "2" "a" "31" -0.5 675.071414582094
"3.91" "3" "b" "31" 0.5 695.060828268829
"4.91" "4" "a" "31" -0.5 481.862503148577
"5.91" "5" "b" "31" 0.5 806.198484742864
"6.91" "6" "a" "31" -0.5 768.28343601199
"7.91" "7" "b" "31" 0.5 1879.61068838781
"8.91" "8" "a" "31" -0.5 891.404089725862
"9.91" "9" "b" "31" 0.5 893.311198372142
"10.91" "10" "a" "31" -0.5 379.741433973631
"11.91" "11" "b" "31" 0.5 1210.2064514427
"12.91" "12" "a" "31" -0.5 882.205018876902
"13.91" "13" "b" "31" 0.5 513.701480553775
"14.91" "14" "a" "31" -0.5 290.799777169818
"15.91" "15" "b" "31" 0.5 1525.50200393053
"16.91" "16" "a" "31" -0.5 883.769966105873
"1.101" "1" "b" "32" 0.5 505.906516665708
"2.101" "2" "a" "32" -0.5 795.289587786383
"3.101" "3" "b" "32" 0.5 647.985114477149
"4.101" "4" "a" "32" -0.5 591.036689763662
"5.101" "5" "b" "32" 0.5 179.366903513643
"6.101" "6" "a" "32" -0.5 284.225247104692
"7.101" "7" "b" "32" 0.5 422.960403581198
"8.101" "8" "a" "32" -0.5 303.090306516796
"9.101" "9" "b" "32" 0.5 511.555066689332
"10.101" "10" "a" "32" -0.5 480.281869231116
"11.101" "11" "b" "32" 0.5 908.328560173802
"12.101" "12" "a" "32" -0.5 614.817991168562
"13.101" "13" "b" "32" 0.5 397.602622209187
"14.101" "14" "a" "32" -0.5 192.227566931669
"15.101" "15" "b" "32" 0.5 495.237293416029
"16.101" "16" "a" "32" -0.5 1012.24673486789
"1.111" "1" "b" "33" 0.5 176.361967916305
"2.111" "2" "a" "33" -0.5 351.343897710407
"3.111" "3" "b" "33" 0.5 376.02295547992
"4.111" "4" "a" "33" -0.5 580.353506737277
"5.111" "5" "b" "33" 0.5 189.686544995376
"6.111" "6" "a" "33" -0.5 328.381370577461
"7.111" "7" "b" "33" 0.5 339.128571572997
"8.111" "8" "a" "33" -0.5 421.766453460614
"9.111" "9" "b" "33" 0.5 262.707810521679
"10.111" "10" "a" "33" -0.5 265.38292190072
"11.111" "11" "b" "33" 0.5 257.114428705676
"12.111" "12" "a" "33" -0.5 205.505265980923
"13.111" "13" "b" "33" 0.5 355.669086140429
"14.111" "14" "a" "33" -0.5 331.666267912306
"15.111" "15" "b" "33" 0.5 516.268111091223
"16.111" "16" "a" "33" -0.5 497.825406956414
"1.121" "1" "b" "34" 0.5 549.319905812274
"2.121" "2" "a" "34" -0.5 323.894356881595
"3.121" "3" "b" "34" 0.5 819.017252878663
"4.121" "4" "a" "34" -0.5 273.227572365975
"5.121" "5" "b" "34" 0.5 279.269994604155
"6.121" "6" "a" "34" -0.5 333.740440133536
"7.121" "7" "b" "34" 0.5 498.050373088932
"8.121" "8" "a" "34" -0.5 399.882981693159
"9.121" "9" "b" "34" 0.5 414.064041386311
"10.121" "10" "a" "34" -0.5 587.823596957207
"11.121" "11" "b" "34" 0.5 1028.40220745225
